ARRAY_S0,ARRAY_S1,ARRAY_S2,ARRAY_S3,ARRAY_S4,ARRAY_S5,ARRAY_S6,ARRAY_S7,ARRAY_S8,ARRAY_S9,MOX_1,MOX_2,MOX_3,MOX_4,SHT_HUMID,SHT_TEMP,DATETIME,CLASS_NAME,SAMPLE_INDEX,
20213,23335,27897,18552,532000,1924274,422105,1949,9226,3756,215,133132,12464,983,27079,27832,2024-02-12 18:05:40,4-hepanone,1900,
20208,23304,27872,18547,529950,1904403,424782,1945,9218,3751,214,132091,12257,979,27157,27864,2024-02-12 18:05:55,4-hepanone,1900,
20209,23314,27832,18540,531450,1926290,424578,1940,9206,3746,212,131076,12062,976,27170,27877,2024-02-12 18:06:10,4-hepanone,1900,
20228,23303,27849,18518,530226,1886981,425235,1931,9195,3740,212,130087,11877,975,27185,27842,2024-02-12 18:06:25,4-hepanone,1900,
20237,23304,27806,18501,530224,1875389,425525,1926,9184,3736,213,129252,11702,971,27143,27893,2024-02-12 18:06:40,4-hepanone,1900,
20249,23311,27797,18490,528437,1917198,424504,1924,9173,3730,212,128358,11539,971,27155,27890,2024-02-12 18:06:54,4-hepanone,1900,
20244,23274,27772,18458,526015,1907369,421660,1917,9158,3725,211,127533,11381,965,27170,27877,2024-02-12 18:07:09,4-hepanone,1900,
20238,23275,27774,18483,527939,1942034,422336,1913,9146,3720,209,126648,11232,963,27153,27866,2024-02-12 18:07:24,4-hepanone,1900,
20227,23268,27755,18454,529692,1939599,422265,1906,9132,3718,209,125848,11093,960,27214,27893,2024-02-12 18:07:39,4-hepanone,1900,
20234,23247,27755,18423,527756,1883436,422909,1900,9119,3710,208,125069,10957,957,27143,27904,2024-02-12 18:07:54,4-hepanone,1900,
20228,23245,27697,18447,527447,1893695,423830,1893,9104,3701,207,124144,10829,956,27197,27896,2024-02-12 18:08:08,4-hepanone,1900,
20224,23239,27734,18389,527284,1883541,423623,1887,9091,3695,205,123490,10711,952,27187,27930,2024-02-12 18:08:23,4-hepanone,1900,
20237,23222,27666,18393,524188,1919517,424347,1880,9074,3692,206,122834,10599,949,27245,27914,2024-02-12 18:08:38,4-hepanone,1900,
20233,23200,27669,18384,524279,1923418,422753,1875,9058,3685,208,122025,10485,946,27205,27898,2024-02-12 18:08:53,4-hepanone,1900,
20234,23207,27632,18383,525762,1911357,426008,1868,9050,3679,204,121293,10380,945,27231,27888,2024-02-12 18:09:08,4-hepanone,1900,
20243,23196,27614,18355,523536,1921036,423379,1863,9032,3672,207,120608,10282,942,27210,27909,2024-02-12 18:09:23,4-hepanone,1900,
20238,23188,27571,18346,521974,1887968,421260,1855,9014,3671,205,119872,10185,939,27212,27928,2024-02-12 18:09:37,4-hepanone,1900,
20238,23167,27571,18347,521564,1921694,420823,1848,9003,3661,203,119175,10089,937,27220,27901,2024-02-12 18:09:52,4-hepanone,1900,
20233,23159,27555,18323,521560,1922489,420502,1845,8988,3657,203,118558,9985,929,27302,27925,2024-02-12 18:10:07,4-hepanone,1900,
20231,23166,27525,18299,520195,1908538,419127,1841,8974,3653,231,143127,12443,1034,27248,27933,2024-02-12 18:10:22,4-hepanone,1900,
20219,23177,27521,18293,520140,1933761,420674,1840,8951,3644,252,183703,16150,1082,27054,27922,2024-02-12 18:10:37,4-hepanone,1900,
20193,23142,27514,18235,521550,1953809,420758,1831,8916,3634,265,230295,19870,1101,26878,27928,2024-02-12 18:10:51,4-hepanone,1900,
20161,23111,27467,18220,518109,1920052,417632,1824,8891,3627,259,239471,21452,1094,26968,27914,2024-02-12 18:11:06,4-hepanone,1900,
20159,23099,27412,18204,518089,1928741,418529,1821,8865,3617,264,247745,23109,1108,27018,27944,2024-02-12 18:11:21,4-hepanone,1900,
20125,23098,27401,18172,519235,1925049,418399,1812,8842,3611,261,248733,23658,1100,26934,27904,2024-02-12 18:11:36,4-hepanone,1900,
20116,23073,27322,18146,520033,1914713,420292,1811,8827,3606,260,240938,23451,1092,26957,27917,2024-02-12 18:11:51,4-hepanone,1900,
26430,30494,36369,29026,673076,3100915,498604,2051,9904,4548,1825,291908,177734,591,39003,27952,2024-03-04 13:30:33,Baseline,1966,
26415,30510,36359,28991,676034,3103487,495060,2052,9907,4547,1821,290917,177887,589,39015,27952,2024-03-04 13:30:48,Baseline,1966,
26439,30489,36398,29023,676991,3101877,495326,2052,9902,4546,1824,290551,177962,590,38948,27944,2024-03-04 13:31:03,Baseline,1966,
26424,30490,36386,28991,674916,3162262,496736,2051,9901,4546,1823,293098,178203,588,38946,27976,2024-03-04 13:31:18,Baseline,1966,
26426,30485,36415,29011,674150,3160394,495343,2052,9904,4546,1818,290439,178168,586,38956,27978,2024-03-04 13:31:33,Baseline,1966,
26437,30493,36412,29074,673427,3093166,493316,2052,9900,4545,1817,291421,178782,590,38948,27954,2024-03-04 13:31:47,Baseline,1966,
26430,30513,36401,29051,673316,3165810,497338,2051,9904,4545,1817,292330,178984,591,38971,27992,2024-03-04 13:32:02,Baseline,1966,
